
=======================================================
 Method: FEDAVG  |  Dataset: CICMALDROID
 Tasks: 5  |  Rounds/task: 25  |  Clients: 10
 DP: OFF
=======================================================
 Device: cpu
[CICMalDroid] 5385 samples, 200 features
[CICMalDroid] Benign=1795, Malware=3590
[CICMalDroid] Class dist: {1: 479, 2: 781, 3: 1405, 4: 925, 5: 1795}  (1=Adware 2=Banking 3=SMS 4=Riskware 5=Benign)
[Data] Strategy: category-aware temporal split + client specialization
  Task 0 (dom=Adware): 870 samples | Mal=511 Ben=359
  Task 1 (dom=Banking): 1131 samples | Mal=772 Ben=359
  Task 2 (dom=SMS): 1678 samples | Mal=1319 Ben=359
  Task 3 (dom=Riskware): 1258 samples | Mal=899 Ben=359
  Task 4 (dom=Adware): 448 samples | Mal=89 Ben=359
[Data] 5 tasks x 10 clients ready.

───────────────────────────────────────────────────────
 TASK 0  (25 rounds)
───────────────────────────────────────────────────────
  Client 02 | round=  9 | stage=STABLE     | score=0.000 | loss=0.6643 | acc=0.512 ✓
  Client 03 | round=  9 | stage=REPLAY     | score=0.525 | loss=0.6617 | acc=0.537 ✓
  Client 04 | round=  9 | stage=REPLAY     | score=0.530 | loss=0.6250 | acc=0.605 ✓
  Client 05 | round=  9 | stage=STABLE     | score=0.071 | loss=0.6488 | acc=0.651 ✓
  Client 06 | round=  9 | stage=STABLE     | score=0.000 | loss=0.6725 | acc=0.524 ✓
  Client 07 | round=  9 | stage=REPLAY     | score=1.000 | loss=0.6468 | acc=0.643 ✓
  Client 08 | round=  9 | stage=STABLE     | score=0.000 | loss=0.5968 | acc=0.719 ✓
  Client 09 | round=  9 | stage=STABLE     | score=0.237 | loss=0.5922 | acc=0.703 ✓
[Server] Round 9: active=10/10 | τ=0.800 | avg_score=0.282 | avg_acc=0.646
  Client 00 | round= 10 | stage=STABLE     | score=0.000 | loss=0.6201 | acc=0.812 ✓
  Client 01 | round= 10 | stage=STABLE     | score=0.000 | loss=0.5956 | acc=0.781 ✓
  Client 02 | round= 10 | stage=STABLE     | score=0.000 | loss=0.7504 | acc=0.537 ✓
  Client 03 | round= 10 | stage=REPLAY     | score=0.382 | loss=0.6821 | acc=0.610 ✓
  Client 04 | round= 10 | stage=REPLAY     | score=0.313 | loss=0.6195 | acc=0.605 ✓
  Client 05 | round= 10 | stage=STABLE     | score=0.000 | loss=0.6425 | acc=0.605 ✓
  Client 06 | round= 10 | stage=STABLE     | score=0.000 | loss=0.7336 | acc=0.524 ✓
  Client 07 | round= 10 | stage=STABLE     | score=0.000 | loss=0.6376 | acc=0.595 ✓
  Client 08 | round= 10 | stage=REPLAY     | score=0.651 | loss=0.6233 | acc=0.672 ✓
  Client 09 | round= 10 | stage=STABLE     | score=0.000 | loss=0.5588 | acc=0.797 ✓
[Server] Round 10: active=10/10 | τ=0.800 | avg_score=0.135 | avg_acc=0.654
  Client 00 | round= 11 | stage=STABLE     | score=0.233 | loss=0.6187 | acc=0.734 ✓
  Client 01 | round= 11 | stage=STABLE     | score=0.000 | loss=0.5505 | acc=0.781 ✓
